participant,technique,measure,score
24,SemiNDH,physical,0
24,SemiNDH,temporal,3
24,SemiNDH,performance,4
24,SemiNDH,effort,5
24,SemiNDH,frustration,0
24,SemiNDH,satisfaction,4
24,SemiDwell,sus,1
24,SemiDwell,mental,2
24,SemiDwell,physical,5
24,SemiDwell,temporal,4
24,SemiDwell,performance,5
24,SemiDwell,effort,6
24,SemiDwell,frustration,0
24,SemiDwell,satisfaction,5
24,SemiSwipe,sus,5
24,SemiSwipe,mental,2
24,SemiSwipe,physical,1
24,SemiSwipe,temporal,1
24,SemiSwipe,performance,0
24,SemiSwipe,effort,4
24,SemiSwipe,frustration,2
24,SemiSwipe,satisfaction,4
24,SemiTilt,sus,6
24,SemiTilt,mental,4
24,SemiTilt,physical,2
24,SemiTilt,temporal,6
24,SemiTilt,performance,6
24,SemiTilt,effort,1
24,SemiTilt,frustration,4
24,SemiTilt,satisfaction,3
25,FullDH,sus,3
25,FullDH,mental,5
25,FullDH,physical,6
25,FullDH,temporal,2
25,FullDH,performance,3
25,FullDH,effort,3
25,FullDH,frustration,5
25,FullDH,satisfaction,0
25,SemiNDH,sus,0
25,SemiNDH,mental,1
25,SemiNDH,physical,6
25,SemiNDH,temporal,2
25,SemiNDH,performance,4
25,SemiNDH,effort,2
25,SemiNDH,frustration,4
25,SemiNDH,satisfaction,1
25,SemiDwell,sus,2
25,SemiDwell,mental,5
25,SemiDwell,physical,0
25,SemiDwell,temporal,2
25,SemiDwell,performance,6
25,SemiDwell,effort,4
25,SemiDwell,frustration,2
25,SemiDwell,satisfaction,4
25,SemiSwipe,sus,2
25,SemiSwipe,mental,0
25,SemiSwipe,physical,5
25,SemiSwipe,temporal,2
25,SemiSwipe,performance,6
25,SemiSwipe,effort,5
25,SemiSwipe,frustration,1
25,SemiSwipe,satisfaction,0
25,SemiTilt,sus,2
25,SemiTilt,mental,1
25,SemiTilt,physical,3
25,SemiTilt,temporal,4
25,SemiTilt,performance,6
25,SemiTilt,effort,3
25,SemiTilt,frustration,1
25,SemiTilt,satisfaction,3
26,FullDH,sus,1
26,FullDH,mental,3
26,FullDH,physical,2
26,FullDH,temporal,1
26,FullDH,performance,3
26,FullDH,effort,3
26,FullDH,frustration,0
26,FullDH,satisfaction,4
26,SemiNDH,sus,0
26,SemiNDH,mental,5
26,SemiNDH,physical,6
26,SemiNDH,temporal,2
26,SemiNDH,performance,3
26,SemiNDH,effort,2
26,SemiNDH,frustration,3
26,SemiNDH,satisfaction,5
26,SemiDwell,sus,1
26,SemiDwell,mental,6
26,SemiDwell,physical,6
26,SemiDwell,temporal,0
26,SemiDwell,performance,0
26,SemiDwell,effort,0
26,SemiDwell,frustration,3
26,SemiDwell,satisfaction,5
26,SemiSwipe,sus,6
26,SemiSwipe,mental,2
26,SemiSwipe,physical,4
26,SemiSwipe,temporal,4
26,SemiSwipe,performance,1
26,SemiSwipe,effort,1
26,SemiSwipe,frustration,0
26,SemiSwipe,satisfaction,6
26,SemiTilt,sus,2
26,SemiTilt,mental,2
26,SemiTilt,physical,1
26,SemiTilt,temporal,5
26,SemiTilt,performance,0
26,SemiTilt,effort,2
26,SemiTilt,frustration,0
26,SemiTilt,satisfaction,4
27,FullDH,sus,1
27,FullDH,mental,0
27,FullDH,physical,4
27,FullDH,temporal,0
27,FullDH,performance,2
27,FullDH,effort,1
27,FullDH,frustration,4
27,FullDH,satisfaction,0
27,SemiNDH,sus,1
27,SemiNDH,mental,3
27,SemiNDH,physical,0
27,SemiNDH,temporal,5
27,SemiNDH,performance,2
27,SemiNDH,effort,6
27,SemiNDH,frustration,0
27,SemiNDH,satisfaction,4
27,SemiDwell,sus,6
27,SemiDwell,mental,3
27,SemiDwell,physical,3
27,SemiDwell,temporal,3
27,SemiDwell,performance,0
27,SemiDwell,effort,2
27,SemiDwell,frustration,6
27,SemiDwell,satisfaction,1
27,SemiSwipe,sus,5
27,SemiSwipe,mental,5
27,SemiSwipe,physical,2
27,SemiSwipe,temporal,2
27,SemiSwipe,performance,2
27,SemiSwipe,effort,4
27,SemiSwipe,frustration,5
27,SemiSwipe,satisfaction,6
27,SemiTilt,sus,2
27,SemiTilt,mental,0
27,SemiTilt,physical,5
27,SemiTilt,temporal,6
27,SemiTilt,performance,3
27,SemiTilt,effort,0
27,SemiTilt,frustration,4
27,SemiTilt,satisfaction,6
28,FullDH,sus,2
28,FullDH,mental,6
28,FullDH,physical,5
28,FullDH,temporal,6
28,FullDH,performance,6
28,FullDH,effort,1
28,FullDH,frustration,6
28,FullDH,satisfaction,1
28,SemiNDH,sus,3
28,SemiNDH,mental,4
28,SemiNDH,physical,3
28,SemiNDH,temporal,0
28,SemiNDH,performance,4
28,SemiNDH,effort,5
28,SemiNDH,frustration,0
28,SemiNDH,satisfaction,3
28,SemiDwell,sus,0
28,SemiDwell,mental,4
28,SemiDwell,physical,2
28,SemiDwell,temporal,1
28,SemiDwell,performance,1
28,SemiDwell,effort,0
28,SemiDwell,frustration,3
28,SemiDwell,satisfaction,0
28,SemiSwipe,sus,2
28,SemiSwipe,mental,6
28,SemiSwipe,physical,1
28,SemiSwipe,temporal,6
28,SemiSwipe,performance,2
28,SemiSwipe,effort,2
28,SemiSwipe,frustration,3
28,SemiSwipe,satisfaction,6
28,SemiTilt,sus,4
28,SemiTilt,mental,0
28,SemiTilt,physical,4
28,SemiTilt,temporal,6
28,SemiTilt,performance,6
28,SemiTilt,effort,1
28,SemiTilt,frustration,6
28,SemiTilt,satisfaction,2
29,FullDH,sus,5
29,FullDH,mental,4
29,FullDH,physical,5
29,FullDH,temporal,6
29,FullDH,performance,1
29,FullDH,effort,2
29,FullDH,frustration,5
29,FullDH,satisfaction,5
29,SemiNDH,sus,4
29,SemiNDH,mental,2
29,SemiNDH,physical,5
29,SemiNDH,temporal,5
29,SemiNDH,performance,5
29,SemiNDH,effort,3
29,SemiNDH,frustration,6
29,SemiNDH,satisfaction,6
29,SemiDwell,sus,2
29,SemiDwell,mental,5
29,SemiDwell,physical,4
29,SemiDwell,temporal,6
29,SemiDwell,performance,2
29,SemiDwell,effort,5
29,SemiDwell,frustration,3
29,SemiDwell,satisfaction,3
29,SemiSwipe,sus,0
29,SemiSwipe,mental,6
29,SemiSwipe,physical,3
29,SemiSwipe,temporal,4
29,SemiSwipe,performance,0
29,SemiSwipe,effort,6
29,SemiSwipe,frustration,1
29,SemiSwipe,satisfaction,2
29,SemiTilt,sus,2
29,SemiTilt,mental,2
29,SemiTilt,physical,1
29,SemiTilt,temporal,1
29,SemiTilt,performance,0
29,SemiTilt,effort,5
29,SemiTilt,frustration,2
29,SemiTilt,satisfaction,6
